job_title,rating,company_name,industry,old title,salary_lower,salary_upper,salary,City,State,max_emp_size,min_emp_size,company_age,python,excel,hadoop,spark,aws,tableau,big_data,numpy,pandas,machine_learning,power_bi,sql,deep_learning
senior data scientist,3.1,Healthfirst,Insurance Carriers,Sr Data Scientist,137,171,222.5,New York,NY,5000,1001,28,0,0,0,0,1,0,0,0,0,1,0,0,0
data scientist,4.2,ManTech,Research & Development,Data Scientist,137,171,222.5,Chantilly,VA,10000,5001,53,0,0,1,0,0,0,0,0,0,1,0,1,0
data scientist,3.8,Analysis Group,Consulting,Data Scientist,137,171,222.5,Boston,MA,5000,1001,40,1,1,0,0,1,0,0,0,0,1,0,0,0
data scientist,3.5,INFICON,Electrical & Electronic Manufacturing,Data Scientist,137,171,222.5,Newton,MA,1000,501,21,1,1,0,0,1,0,0,0,0,1,0,1,1
data scientist,2.9,Affinity Solutions,Advertising & Marketing,Data Scientist,137,171,222.5,New York,NY,200,51,23,1,1,0,0,0,0,0,0,0,1,0,1,0
data scientist,4.2,HG Insights,Computer Hardware & Software,Data Scientist,137,171,222.5,Santa Barbara,CA,200,51,11,1,1,1,1,0,0,0,0,0,1,0,1,0
machine learning engineer,3.9,Novartis,Biotech & Pharmaceuticals,Data Scientist / Machine Learning Expert,137,171,222.5,Cambridge,MA,10000,10000,25,1,0,0,0,0,0,0,0,0,1,0,0,0
data scientist,3.5,iRobot,Consumer Electronics & Appliances Stores,Data Scientist,137,171,222.5,Bedford,MA,5000,1001,31,1,0,0,0,0,0,0,1,1,0,0,1,0
senior data scientist,4.4,Intuit - Data,Computer Hardware & Software,Staff Data Scientist - Analytics,137,171,222.5,San Diego,CA,10000,5001,38,0,0,0,0,0,0,0,0,0,0,0,0,0
data scientist,3.6,XSELL Technologies,Enterprise Software & Network Solutions,Data Scientist,137,171,222.5,Chicago,IL,200,51,7,1,0,0,0,0,0,0,0,0,1,0,1,1
data scientist,4.5,Novetta,Enterprise Software & Network Solutions,Data Scientist,137,171,222.5,Herndon,VA,1000,501,9,1,1,0,0,1,0,0,0,0,1,0,0,1
data scientist,4.7,1904labs,IT Services,Data Scientist,137,171,222.5,Saint Louis,MO,200,51,5,1,0,0,1,0,0,0,0,1,1,0,1,0
data scientist,3.7,PNNL,Energy,"Data Scientist - Statistics, Early Career",137,171,222.5,Richland,WA,5000,1001,56,0,1,0,0,0,0,0,0,0,1,0,0,0
data modeler,3.1,Old World Industries,Chemical Manufacturing,Data Modeler,137,171,222.5,Northbrook,IL,500,201,48,1,1,0,0,0,1,0,0,0,0,0,1,0
data scientist,3.4,Mathematica Policy Research,Consulting,Data Scientist,137,171,222.5,Washington,DC,5000,1001,35,1,1,0,0,1,0,0,0,1,1,0,0,0
senior data scientist,4.4,Guzman & Griffin Technologies (GGTI),Federal Agencies,Experienced Data Scientist,137,171,222.5,Washington,DC,50,1,24,1,1,1,1,0,1,0,1,0,1,0,1,1
data scientist,4.1,Upside Business Travel,Internet,Data Scientist - Contract,137,171,222.5,Remote,,200,51,6,1,0,0,0,0,0,0,0,0,1,0,0,0
data scientist,3.5,Buckman,Chemical Manufacturing,Data Scientist,137,171,222.5,Memphis,TN,5000,1001,76,1,0,1,0,0,0,0,0,0,1,0,1,0
senior data analyst,4.2,"Insight Enterprises, Inc.",Enterprise Software & Network Solutions,Data Analyst II,137,171,222.5,Plano,TX,10000,5001,33,0,1,0,0,0,0,0,0,0,0,0,0,0
data scientist,3.5,Tower Health,Health Care Services & Hospitals,Medical Lab Scientist,137,171,222.5,West Grove,PA,10000,5001,4,0,0,0,0,0,0,0,0,0,0,0,0,0
data scientist,3.2,Triplebyte,Computer Hardware & Software,Data Scientist,137,171,222.5,New York,NY,200,51,6,0,0,0,0,0,0,0,0,0,1,0,0,0
machine learning engineer,4.3,PulsePoint,Internet,Data Scientist/Machine Learning,137,171,222.5,New York,NY,200,51,10,1,0,1,1,0,0,0,1,1,1,0,0,0
data scientist,3.5,Exponent,Consulting,Human Factors Scientist,137,171,222.5,Phoenix,AZ,5000,1001,54,0,1,0,0,0,0,0,0,0,0,0,0,0
data analyst,3.5,Guardian Life,Insurance Carriers,Business Intelligence Analyst I- Data Insights,137,171,222.5,Appleton,WI,10000,5001,161,0,0,0,0,0,0,0,0,0,0,0,0,0
data scientist,3.4,Spectrum Communications and Consulting,Advertising & Marketing,Data Scientist,137,171,222.5,Chicago,IL,200,51,29,0,0,0,0,0,0,0,0,0,0,0,1,0
data scientist,4.7,Oversight Systems,Computer Hardware & Software,Data Scientist,137,171,222.5,Atlanta,GA,200,51,18,1,1,0,0,0,0,0,0,1,1,0,1,1
data scientist,4.2,LSQ,Investment Banking & Asset Management,Data Scientist - Risk,137,171,222.5,Orlando,FL,200,51,25,1,1,1,1,1,1,0,0,0,0,1,0,0
data scientist,3.8,MIT Lincoln Laboratory,Aerospace & Defense,Data Scientist-Human Resources,137,171,222.5,Lexington,MA,5000,1001,70,1,0,1,1,0,0,0,0,0,1,0,1,0
data scientist,4.5,Kingfisher Systems,Federal Agencies,Data Scientist,137,171,222.5,McLean,VA,200,51,16,1,0,0,0,0,1,0,0,0,1,0,1,0
data scientist,2.8,Formation,Enterprise Software & Network Solutions,Data Scientist,137,171,222.5,San Francisco,CA,200,51,6,0,1,0,1,0,0,0,0,0,1,0,0,0
data scientist,3.8,Analysis Group,Consulting,Data Scientist,75,131,140.5,Boston,MA,5000,1001,40,1,1,0,0,1,0,0,0,0,1,0,0,0
machine learning engineer,3.9,Novartis,Biotech & Pharmaceuticals,Data Scientist / Machine Learning Expert,75,131,140.5,Cambridge,MA,10000,10000,25,1,0,0,0,0,0,0,0,0,1,0,0,0
data scientist,5.0,Cohere Health,IT Services,Data Scientist,75,131,140.5,Boston,MA,50,1,2,1,1,0,0,0,0,0,0,0,1,0,1,0
senior data scientist,4.8,Acuity Insurance,Insurance Carriers,Senior Research Statistician- Data Scientist,75,131,140.5,Sheboygan,WI,5000,1001,96,0,0,0,0,0,0,0,0,0,0,0,0,0
data engineer,3.6,Chef,Enterprise Software & Network Solutions,Data Engineer,75,131,140.5,United States,,500,201,13,0,1,0,0,1,0,0,0,0,0,0,1,0
data scientist,3.3,Puget Sound Energy,Utilities,Associate Data Scientist,75,131,140.5,Bothell,WA,5000,1001,22,0,1,1,1,0,0,0,0,0,1,0,1,0
data analyst,2.7,Sandhills Global,Enterprise Software & Network Solutions,Business Intelligence Analyst,75,131,140.5,Lincoln,NE,5000,1001,43,1,1,0,0,0,1,0,0,0,0,1,1,0
data scientist,2.7,A Place for Mom,Health Care Services & Hospitals,Data Scientist,75,131,140.5,Overland Park,KS,1000,501,21,1,1,0,0,1,0,0,0,0,1,0,1,0
